date,tempActual,tempIdeal,heaterStatus,fanStatus,opStatus
Sat Nov 21 2020 18:56:37 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:56:40 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:56:44 GMT-0600 (hora estándar central),17.38,18.00,1,0,0
Sat Nov 21 2020 18:56:47 GMT-0600 (hora estándar central),17.38,18.00,1,0,0
Sat Nov 21 2020 18:56:50 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:57:10 GMT-0600 (hora estándar central),17.50,18.00,1,0,0
Sat Nov 21 2020 18:57:13 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:57:17 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:57:20 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:57:23 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:57:26 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:57:30 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:57:33 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:57:36 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:57:40 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:57:43 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:57:46 GMT-0600 (hora estándar central),17.50,18.00,1,0,0
Sat Nov 21 2020 18:57:50 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:57:53 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:57:56 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:57:59 GMT-0600 (hora estándar central),17.50,18.00,1,0,0
Sat Nov 21 2020 18:58:03 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:58:06 GMT-0600 (hora estándar central),17.50,18.00,1,0,0
Sat Nov 21 2020 18:58:09 GMT-0600 (hora estándar central),17.50,18.00,1,0,0
Sat Nov 21 2020 18:58:13 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 18:58:16 GMT-0600 (hora estándar central),17.44,18.00,1,0,0
Sat Nov 21 2020 19:10:52 GMT-0600 (hora estándar central),17.31,18.00,1,0,0
Sat Nov 21 2020 19:10:55 GMT-0600 (hora estándar central),17.31,18.00,1,0,0
Sat Nov 21 2020 19:10:59 GMT-0600 (hora estándar central),17.31,18.00,1,0,0
Sat Nov 21 2020 19:11:02 GMT-0600 (hora estándar central),17.38,18.00,1,0,0
Sat Nov 21 2020 19:11:05 GMT-0600 (hora estándar central),17.31,18.00,1,0,0
Sat Nov 21 2020 19:11:07 GMT-0600 (hora estándar central),17.31,18,1,0,1
Sat Nov 21 2020 19:11:08 GMT-0600 (hora estándar central),17.31,18,0,0,1
Sat Nov 21 2020 19:11:08 GMT-0600 (hora estándar central),17.31,18.00,1,0,1
Sat Nov 21 2020 19:11:12 GMT-0600 (hora estándar central),17.44,18.00,0,0,1
Sat Nov 21 2020 19:11:15 GMT-0600 (hora estándar central),17.38,18.00,0,0,1
Sat Nov 21 2020 19:11:18 GMT-0600 (hora estándar central),17.38,18.00,0,0,1
Sat Nov 21 2020 19:11:22 GMT-0600 (hora estándar central),17.38,18.00,0,0,1
Sat Nov 21 2020 19:11:22 GMT-0600 (hora estándar central),17.38,18,0,1,1
Sat Nov 21 2020 19:11:25 GMT-0600 (hora estándar central),17.38,18.00,0,1,1
Sat Nov 21 2020 19:11:28 GMT-0600 (hora estándar central),17.44,18.00,0,1,1
Sat Nov 21 2020 19:11:31 GMT-0600 (hora estándar central),17.38,18.00,0,1,1
Sat Nov 21 2020 19:11:33 GMT-0600 (hora estándar central),17.38,18,0,0,1
Sat Nov 21 2020 19:11:35 GMT-0600 (hora estándar central),17.44,18.00,0,0,1
Sat Nov 21 2020 19:11:38 GMT-0600 (hora estándar central),17.38,18.00,0,0,1
Sat Nov 21 2020 19:11:40 GMT-0600 (hora estándar central),17.38,18,1,0,1
Sat Nov 21 2020 19:11:41 GMT-0600 (hora estándar central),17.38,18.00,0,0,1
Sat Nov 21 2020 19:11:45 GMT-0600 (hora estándar central),17.31,18.00,1,0,1
Sat Nov 21 2020 19:11:48 GMT-0600 (hora estándar central),17.38,18.00,1,0,1
Sat Nov 21 2020 19:11:51 GMT-0600 (hora estándar central),17.31,18.00,1,0,1
Sat Nov 21 2020 19:11:55 GMT-0600 (hora estándar central),17.31,18.00,1,0,1
Sat Nov 21 2020 19:11:58 GMT-0600 (hora estándar central),17.31,18.00,1,0,1
Sat Nov 21 2020 20:22:25 GMT-0600 (hora estándar central),17.06,18.00,1,0,0
Sat Nov 21 2020 20:22:29 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:22:32 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:22:35 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:22:38 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:22:42 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:22:45 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:22:48 GMT-0600 (hora estándar central),17.19,18.00,1,0,0
Sat Nov 21 2020 20:22:51 GMT-0600 (hora estándar central),17.06,18.00,1,0,0
Sat Nov 21 2020 20:22:55 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:22:58 GMT-0600 (hora estándar central),17.06,18.00,1,0,0
Sat Nov 21 2020 20:23:01 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:23:05 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:23:08 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:23:11 GMT-0600 (hora estándar central),17.06,18.00,1,0,0
Sat Nov 21 2020 20:23:15 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:23:18 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:23:21 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:23:24 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:23:28 GMT-0600 (hora estándar central),17.19,18.00,1,0,0
Sat Nov 21 2020 20:23:31 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:23:34 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:23:38 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:23:41 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:23:44 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:23:48 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:23:51 GMT-0600 (hora estándar central),17.19,18.00,1,0,0
Sat Nov 21 2020 20:23:54 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:23:57 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:24:01 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:24:04 GMT-0600 (hora estándar central),17.19,18.00,1,0,0
Sat Nov 21 2020 20:24:07 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:24:11 GMT-0600 (hora estándar central),17.19,18.00,1,0,0
Sat Nov 21 2020 20:24:14 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:24:17 GMT-0600 (hora estándar central),17.13,18.00,1,0,0
Sat Nov 21 2020 20:24:18 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:24:21 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:24:24 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:24:27 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:24:30 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:24:34 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:24:37 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:24:40 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:24:44 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:24:47 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:24:50 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:24:54 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:24:57 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:25:00 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:25:03 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:25:07 GMT-0600 (hora estándar central),17.19,54.00,1,0,0
Sat Nov 21 2020 20:25:10 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:25:13 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:25:17 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:25:20 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
Sat Nov 21 2020 20:25:23 GMT-0600 (hora estándar central),17.13,54.00,1,0,0
